"Retrieve information about shopping cart","Truy xuất thông tin giỏ hàng"
"Review Order","Xem lại đơn hàng"
"Review Order - %s","Xem lại đơn hàng - %s"
"SKU","SKU"
"Sales","Bán hàng"
"Save Condition","Lưu điều kiện"
"Save in address book","Lưu trong sổ địa chỉ"
"See price before order confirmation.","Xem giá trước khi xác nhận đặt hàng"
"Select Address","Chọn địa chỉ"
"Select Addresses","Chọn địa chỉ"
"Select Shipping Method","Chọn phương thức vận chuyển"
"Select State/Province...","Chọn tỉnh/Thành phố..."
"Select a billing address from your address book or enter a new address.","Chọn địa chỉ giao hàng từ địa chỉ thanh toán của bạn hoặc nhập địa chỉ mới"
"Select a shipping address from your address book or enter a new address.","Chọn địa chỉ giao hàng từ địa chỉ giao hàng của bạn hoặc nhập địa chỉ mới"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Gửi đến"
"Separate by "","".","Tách bằng "",""."
"Set customer for shopping cart","Chọn khách hàng cho giỏ hàng"
"Set customer's addresses in shopping cart","Cài đặt địa chỉ của khách hàng cho giỏ hàng"
"Set payment method","Cài đặt phương thức thanh toán"
"Set shipping method","Cài đặt phương thức vận chuyển"
"Ship to Multiple Addresses","Gửi tới nhiểu địa chỉ"
"Ship to different address","Chuyển hàng đến địa chỉ khác"
"Ship to this address","Chuyển  hàng đến địa chỉ này"
"Shipping Address","Địa chỉ vận chuyển"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Methods","Các phương thức vận chuyển"
"Shipping To","Vận chuyển đến"
"Shipping information","Thông tin vận chuyển"
"Shipping method has not been selected yet","Phương thức vận chuyển chưa chọn"
"Shipping methods in shopping cart","Phương thức vận chuyển của giỏ hàng"
"Shipping selection is not applicable.","Lựa chọn vận chuyển không được áp dụng"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Form Before","Mẫu giỏ hàng trước"
"Shopping Cart Items After","Mục sau giỏ hàng"
"Shopping Cart Items Before","Mục trước giỏ hàng"
"Shopping Cart Sidebar","Thanh bên giỏ hàng"
"Shopping Cart Sidebar Extra Actions","Hàng động thêm giỏ hàng"
"Shopping Cart is Empty","Giỏ hàng trống"
"Shopping cart ability to set coupon code","Giỏ hàng có khả năng đặt phiếu giảm giá"
"Show Content as","Hiển thị nội dung dưới dạng "
"Some of the requested products are not available in the desired quantity.","Số sản phẩm yêu cầu hiện có thấp hơn số lượng mong muốn."
"Some of the requested products are unavailable.","Số sản phẩm yêu cầu hiện không có sẵn."
"Some products quantities were recalculated because of quantity increment mismatch","Số lượng sản phẩm đã được tính lại do tăng số lượng không phù hợp."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Xin lỗi, Thanh toán  của quý khách không được cho phép. Xin thử lại hoặc liên hệ cho chủ của hàng."
"Sorry, no quotes are available for this order at this time.","Xin lỗi, không có báo giá có sẵn cho đơn hàng lúc này."
"State/Province","Tỉnh/Thành phố"
"Status","Trạng thái"
"Store View","Chế độ xem của hàng"
"Street Address","Địa chỉ đường "
"Street Address %s","Địa chỉ đường %s"
"Submitting order information...","Gửi thông tin đặt hàng…"
"Subtotal","Tổng"
"Subtotal must exceed minimum order amount","Tổng giá trị phải hơn số tiền đặt hàng tối thiểu"
"Telephone","Điện thoại"
"Terms and Conditions","Các điều khoảng và điều kiện"
"Terms and Conditions Information","Thông tin điều khoản và điều kiện."
"Terms and conditions","Các điều khoảng và điều kiện"
"Text","Văn bản"
"Thank you for your purchase!","Cảm ơn vì đã mua hàng"
"The condition has been deleted","Trạng thái đã được xóa"
"The condition has been saved.","Trạng thái đã được lưu"
"The onepage checkout is disabled.","Trang thanh toán bị vô hiệu."
"The product could not be found.","Không thể tìm thấy sản phẩm này."
"The product does not exist.","Sản phẩm không tồn tại."
"There are <a href=""%s"">%s items</a> in your cart.","Có <a href=""%s"">%s mặt hàng</a> trong giỏ hàng của bạn."
"There is <a href=""%s"">1 item</a> in your cart.","Có <a href=""%s"">1 sản phẩm</a> trong giỏ hàng của bạn."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Email đã được đăng ký. Vui lòng đăng nhập hoặc sử dụng Emai khác để đăng ký tài khoản."
"There was an error processing your order. Please contact us or try again later.","Đã xảy ra lỗi khi xử lý đơn hàng. Vui lòng liên hệ với chúng tôi hoặc thử lại sau"
"This condition no longer exists.","trạng thái này  không còn cồn tại"
"Total","Total"
"Total for this address","Total for this address"
"Unable to set Payment Method.","Không thể chọn phương thức thanh toán."
"Unit Price","Đơn giá"
"Update","Cập nhật"
"Update Cart","Cập nhật giỏ hàng"
"Update Qty &amp; Addresses","Cập nhật số lượng &amp; Địa chỉ"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Total","Cập nhật tất cả"
"Update product quantities in shopping cart","Cập nhật số lượng sản phẩm có trong giỏ hàng"
"Update product(s) quantities in shopping cart","Cập nhật số lượng sản phẩm có trong giỏ hàng"
"Use Billing Address","Sử dụng địa chỉ thanh toán"
"VAT Number","Số VAT"
"View Shopping Cart","Xem giỏ hàng"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Đơn hàng của bạn đang được xử lý, bạn sẽ nhận được email với các chi tiết về đơn đặt hàng. Khi đơn hàng được chuyển, bạn sẽ nhận được emai để theo dõi tình trạng của nó."
"What&#39;s this?","What&#39;s this?"
"What's this?","Đây là gì?"
"You have no items in your shopping cart.","KHông có sản phẩm nào trong giỏ hàng của bạn."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được email để xác nhận đơn hàng với các chi tiết về đơn hàng của bạn và liên kết để theo dõi tình trạng đơn hàng đó"
"Your Checkout Progress","Tình trạng thanh toán của bạn"
"Your billing agreement # is: %s.","Thỏa thuận thanh toán của bạn # là %s:"
"Your order # is: %s.","Đơn đặt hàng của bạn # là: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Không thể hoàn thành đơn đặt hàng vì không tồn tại phương thức thanh toán."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Đơn đặt hàng của bạn không thể hoàn thành vì không có phương thức giao hàng có sẵn cho nó. Vui lòng thay đổi địa chỉ giao hàng của bạn."
"Your order has been received.","Đơn hàng của bạn đã được nhận."
"Your order number is ","Số hóa đơn của bạn là"
"Your recurring payment profiles:","Hồ sơ thanh toán định kỳ của bạn:"
"Zip","Chuyển phát nhanh"
"Zip/Postal Code","Chuyển phát nhanh/Mã bưu điện"
"ok","ok"
"or","hoặc"
